track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
3tNCC3x3rSivkbYszwQym9,ZCN,Alizzmatic,21,4sOtdM0dC1NABExqx4s31p,The Port,2018-05-01,House Electro 2019,72r6odw0Q3OWTCYMGA7Yiy,edm,electro house,0.742,0.773,1,-10.053,1,0.0617,1.38e-05,0.825,0.0517,0.979,128.006,105234,adbhuta,0.99159586
1leXuBiWQMgbvOIIedqbLB,Kangaroo Court,Capital Cities,64,3WrufJir7I61NkvkDwxero,In A Tidal Wave Of Mystery (Deluxe Edition),2013,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.76,0.579,5,-5.079,0,0.0388,0.00715,0.000679,0.0304,0.975,99.979,223187,adbhuta,0.9878549999999999
424ga21oScJ3e1YvT9JxlT,Boogie in Zero Gravity - Extended Version,Black Strobe,0,79uEeMciy2R8gq2JeqBmwY,Boogie In Zero Gravity,2012-07-16,GTA V - Radio Mirror Park,31R7Gd07KsDafqJEeL4Hqr,pop,electropop,0.777,0.703,11,-6.92,0,0.0569,0.0112,0.743,0.0765,0.975,123.006,406575,adbhuta,0.98664
2ypT0w7jeCwcEQQvNE5o92,The Bad Touch,Bloodhound Gang,11,4hirIN3Nve0AgH4pxLo80V,Hooray For Boobies,1999,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.827,0.747,0,-6.247,0,0.0377,0.00355,0.0253,0.101,0.969,122.984,260507,adbhuta,0.9865349999999999
4X7Nb9Ch3YogQjnxRphZni,Pony - Single Version,Ginuwine,15,2K0DuvUnGfY8hSZGksY2fP,Keep Calm & Party,2016-03-11,R&B 80's/90's/00's,2Ey63yNQeC9Yto7JwX9BGJ,r&b,new jack swing,0.744,0.702,8,-5.77,0,0.0839,0.00188,0.0542,0.0946,0.967,142.021,252120,adbhuta,0.9862360000000001
11HLyzoCyx8hXKXVmrg1Sy,Wishful Thinking,China Crisis,53,1mWJIJbT09FgNhOr4xiPoL,Diary: A Collection,1992-01-01,Permanent Wave CHDB,2foj4ZYVHRGqSd1aMqNPBj,rock,permanent wave,0.67,0.512,7,-14.62,1,0.0335,7.93e-05,0.0985,0.105,0.965,125.18,250707,adbhuta,0.9859762099999999
6mz1fBdKATx6qP4oP1I65G,Pony,Ginuwine,72,4he7R24eqd1EbF9kegiAK8,R&B: From Doo-Wop To Hip-Hop,1999-10-08,The Sound of Urban Contemporary,07zF8MjQPsiYUXiAIGZ5TA,r&b,urban contemporary,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,adbhuta,0.985842
6mz1fBdKATx6qP4oP1I65G,Pony,Ginuwine,72,4he7R24eqd1EbF9kegiAK8,R&B: From Doo-Wop To Hip-Hop,1999-10-08,90s/00s Hip Hop & RnB,0Ar0Ng9DlAWZtSPBvOQgOa,r&b,hip pop,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,adbhuta,0.985842
6mz1fBdKATx6qP4oP1I65G,Pony,Ginuwine,72,4he7R24eqd1EbF9kegiAK8,R&B: From Doo-Wop To Hip-Hop,1999-10-08,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,adbhuta,0.985842
3mP3rF78g5vC9RthCEXvtV,Green River,Creedence Clearwater Revival,0,0lhjl90onrc7LBbpIElyMV,Chronicle: 20 Greatest Hits,1976,70's Classic Rock,76lrxCrKrGDkDDf3SVPnl3,rock,classic rock,0.664,0.762,4,-9.516,1,0.0279,0.00725,0.000368,0.083,0.97,141.255,154187,adbhuta,0.985825
4668NzBeVEmBV175TwDRiL,Starlight Girl,Night Tempo,23,3VSrApObLIfyVdWaOKoH7n,Moonrise,2018-05-20,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.711,0.754,1,-6.297,0,0.0959,0.000378,0.113,0.108,0.964,110.054,192000,adbhuta,0.9854866
2Hmz8V8A5S23VT0h4Y2ZDB,Liberty Lane,Status Quo,37,6I6Jc5Y3GGwZclpqzkYMVz,Backbone,2019-09-06,Classic Rock Now,37i9dQZF1DX0fWtUuB7bFE,rock,classic rock,0.621,0.68,2,-8.14,1,0.0313,0.0052,7.23e-06,0.177,0.967,146.99,222041,adbhuta,0.9852400000000001
6TjOUHBzLfcjFOEJWNGhJ1,Orchard - Original Mix,Fouk,0,2qb2tOm7veekJBwrJR2vfz,Orchard,2016-06-24,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.905,0.723,5,-11.913,0,0.0624,0.000162,0.9,0.0414,0.963,118.003,373846,adbhuta,0.9851514
3bre1AeDLj7UFDj3VO12Tb,Black Snake,Black Joe Lewis & The Honeybears,2,6L2qzbSoiiJDw3sjWrBGb4,Scandalous (Deluxe Version),2011-01-01,Blues Rock,56dbowk1V5ycS5jW7DSvi5,rock,classic rock,0.78,0.711,0,-4.362,1,0.0294,0.00964,0.0016,0.144,0.97,104.694,182880,adbhuta,0.9851079999999999
5NMF5emWxHxUcivFDagVhE,This Is the End,Tetengo,16,5DHdv0N7qILNYb0IzMbR1T,Electroshow,2018-06-21,House Electro 2019,72r6odw0Q3OWTCYMGA7Yiy,edm,electro house,0.778,0.789,0,-7.946,1,0.139,5.4e-06,0.945,0.102,0.962,128.03,33750,adbhuta,0.98479838
0Qp37xG9JmIpYURi8xJl3E,Express Yourself - Remastered 2000,N.W.A.,45,211cmD9AlnfpVTEjhrokzl,N.W.A. And Their Family Reunion,2008-01-01,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,rap,gangster rap,0.807,0.794,8,-5.618,0,0.275,0.00586,0.0,0.207,0.966,95.063,263093,adbhuta,0.984642
0Qp37xG9JmIpYURi8xJl3E,Express Yourself - Remastered 2000,N.W.A.,45,211cmD9AlnfpVTEjhrokzl,N.W.A. And Their Family Reunion,2008-01-01,Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,r&b,hip pop,0.807,0.794,8,-5.618,0,0.275,0.00586,0.0,0.207,0.966,95.063,263093,adbhuta,0.984642
648BMGrt98kUbLo24A4vgj,Hip To Be Square,Huey Lewis & The News,64,5L0vaNLbzgP8RIJqs1zamE,Fore!,1986-01-01,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000347,0.139,0.963,140.873,245467,adbhuta,0.98445
3bbL4PKzyZZC31EwTslTEp,Do You Remember,Ballin Entertainment,0,5L1xcowSxwzFUSJzvyMp48,Ultimate Freestyle Mega Mix,2008-04-20,Latin Hip Hop/Freestyle,2MYEUjX0YAI9dxrBDzoCK7,latin,latin hip hop,0.709,0.752,10,-12.614,0,0.0367,0.00182,0.103,0.093,0.962,129.266,127399,adbhuta,0.9842540000000001
39I1EJfi3wODazQm8evBLY,Huvudet I Sanden (feat. Adam Tensta,Familjen,0,5Bd7ZUN43PHCleEweYSr2O,Huvudet I Sanden,2008-01-01,Electro/Progressive/Club House,1HtnPDj2V126xB9tJP786P,edm,progressive electro house,0.805,0.746,1,-5.045,1,0.0531,0.00185,0.000265,0.0709,0.962,128.036,273840,adbhuta,0.984245
1xair0UVVvZdwvtPJb0X4B,Hard To Handle,The Black Crowes,2,6hjr384HEL7Vqfp60Wuv7W,Shake Your Money Maker,1990,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz,rock,classic rock,0.605,0.796,4,-3.618,1,0.0421,0.00286,0.000541,0.279,0.961,103.671,187720,adbhuta,0.983542
4ByNgxRB6LdIdNcN594U4Q,Newman,BloodPop®,35,358UgbAyPnsWb63FhC0zlz,Newman,2019-01-11,Fresh EDM | Progressive House | Electro House | Trap | Deep House | Electronic | Future House/Bass,0FCHg9zJMNNiOokh3hVcxd,edm,progressive electro house,0.74,0.745,4,-5.638,1,0.0409,0.00442,0.571,0.12,0.962,128.008,225469,adbhuta,0.9834740000000001
79xkyiTBHqdGg3SirACPwy,La Chona,Los Tucanes De Tijuana,64,3oeX8Q7k6jH4Gq8WzRkNqb,Para Tucancillos y Tucancillas,2017-09-13,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.844,0.717,7,-4.947,1,0.0392,0.00966,0.0,0.344,0.965,145.065,199080,adbhuta,0.9831019999999999
1xRCGC0OUcavUYX6T4oDqH,Chase,Giorgio Moroder,0,2FQe9IhPGZe49IVQlvzzxM,The Casablanca Records Story,1994-01-01,80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds),1oReEujyWpQv2OX68BVPPA,latin,latin hip hop,0.646,0.603,7,-13.096,0,0.0288,0.00363,0.887,0.0691,0.96,125.582,503360,adbhuta,0.9829109999999999
