track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
5iAB4tlYseBES4MKqgY4KG,Relaxing Crickets And Waterfall,Natural Sound Makers,52,2GLxsxoWpW8MOw9O9AAsf9,Forest By Night,2017-01-09,Tropical Nights,37i9dQZF1DX0ES2mnOVvai,latin,tropical,0.0787,0.000175,7,-35.96,1,0.058,0.118,0.972,0.0793,0.0116,169.062,264154,bhayanaka,0.9942
4iNljnJPDFYXyaLVpr7tbe,SILHOUETTE,Lorn,34,2GYaqE9jZ1IFdWYiFlQNQV,REMNANT,2018-09-05,Electropop And Play,7p30DzTAgW6OhspSXHTI88,pop,electropop,0.0985,0.0958,1,-18.209,0,0.0364,0.721,0.853,0.0982,0.0276,87.92,233275,bhayanaka,0.9862
1OycCM0ijoTj1aGdmRlYoS,Waterfall Jungle,The Sleep Specialist,45,3TRoUn8OKRVUcbprXmyGgj,Jungle And Forest Sounds,2017-01-09,Tropical Nights,37i9dQZF1DX0ES2mnOVvai,latin,tropical,0.176,0.274,2,-29.561,1,0.0592,0.00171,0.00124,0.352,0.0338,129.944,316491,bhayanaka,0.9831
3jipFRgLyKK0oJoG1pKicx,Jaded,Drake,4,2o9McLtDM7mbODV7yZF2mc,Scorpion,2018-06-29,PROJECT: Contemporary,6HaCi9bqaiuSZEDfCEmwyo,r&b,urban contemporary,0.766,0.272,0,-5.696,1,0.041,0.0366,0.0,0.175,0.037,116.036,262453,bhayanaka,0.9815
4c2xt1trwYZpMqPWY35Xi9,Jaded,Drake,68,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,Urban Contemporary,4Pbs84EQbuAblxlp6Chz0d,r&b,urban contemporary,0.766,0.271,0,-5.697,1,0.0412,0.037,0.0,0.175,0.0371,116.02,262453,bhayanaka,0.9814499999999999
28xkYPSP0P5xu5vT6MQfCy,"Okay,ButThisIsTheLastTime",BONES,0,7K55ccCG19yqcWIFH70SB7,Frayed,2015-09-26,< DARK TRAP >,19WuHd4MxWLzE1fpMmw4S4,rap,gangster rap,0.755,0.298,1,-15.032,1,0.0915,0.154,0.329,0.101,0.0372,99.979,123054,bhayanaka,0.9814
0E0ZAWynZx0CutIg4rb8q3,Red Right Hand - From 'Peaky Blinders' Original Soundtrack,PJ Harvey,50,1EwgB1o0qsNwnCzhRiThr6,Red Right Hand (From 'Peaky Blinders' Original Soundtrack),2019-10-23,Permanent Wave,5Go0Jsxj1UnsU7Om841BEo,rock,permanent wave,0.241,0.0695,7,-21.218,1,0.0439,0.986,0.00686,0.0863,0.0374,169.846,170693,bhayanaka,0.9813000000000001
3QP4PFk6ExkTlHQgfOHppJ,The Cat,Eprom,42,2W7IvBrsQstbulR6QhMKH9,The Cat,2019-02-27,Trap Mojito,37i9dQZF1DX1OIMC8iDi74,rap,trap,0.635,0.192,5,-9.936,0,0.211,0.384,0.629,0.377,0.0376,130.038,150600,bhayanaka,0.9812000000000001
4bdfIfhw6McKwL9W233Ptz,Laguna Limited,ESCHES,35,2GUIdrl9gBIQLZMWj0bzF4,Laguna Limited,2019-02-01,Neo-Soul Guitar,0aS9YCNTNrDiMNa9tT49RG,r&b,neo soul,0.566,0.188,1,-16.824,0,0.0666,0.676,0.0691,0.102,0.0376,59.056,224696,bhayanaka,0.9812000000000001
1ODEng2FFlNltR6S949ynx,No Need To Argue,The Cranberries,48,5GugLrmYMl5VRoe2zNgLGp,No Need To Argue,1994-10-03,The Cranberries Best Of,4E3K9oQgvLcKEz0wgBBXxD,rock,album rock,0.193,0.0867,0,-22.19,1,0.0545,0.888,6.24e-05,0.112,0.0382,196.446,174667,bhayanaka,0.9809
7EIBlyjSzRXbTCFrW2wZ01,No Guarantee - Remix Version,Chico DeBarge,0,5NXBYIr7OScDZfI02pIAKD,Long Time No See,1997-11-18,90s R&B - The BET Planet Groove/Midnight Love Mix,7LjRWGUdOmBdPG1W1bga4i,r&b,new jack swing,0.22,0.0286,1,-34.283,1,0.0562,0.943,0.0,0.218,0.0383,128.899,31893,bhayanaka,0.98085
4r5s340LOiyEZTqNJglbzH,Tail Lights,Makeup And Vanity Set,1,2CINJnbsAiWtzRVYGv3xJg,Atlanta Monster (Original Soundtrack),2018-07-13,Electropop And Play,7p30DzTAgW6OhspSXHTI88,pop,electropop,0.814,0.0948,8,-12.731,1,0.0598,0.635,0.948,0.109,0.0391,122.016,96000,bhayanaka,0.98045
3O8wVPwskB1ZdoSRiwaAak,Green Tea,chief.,49,2yeJRY4oFBVHfWW8Ghdqu3,Summer Rain,2018-07-06,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.582,0.223,1,-11.915,0,0.0688,0.766,0.954,0.0658,0.0392,80.093,129000,bhayanaka,0.9803999999999999
0F4EoaMJmWNz8vS8tKgsqY,Dawn Chorus,Thom Yorke,55,5a4VSyY7zsfVVqHweYHG7R,ANIMA,2019-06-26,Permanent Wave,5Go0Jsxj1UnsU7Om841BEo,rock,permanent wave,0.261,0.174,7,-16.161,1,0.0346,0.854,0.893,0.169,0.0393,138.999,323080,bhayanaka,0.98035
1WsEgieHsWWndAzLkmV105,hostage,Billie Eilish,79,7fRrTyKvE4Skh93v97gtcU,dont smile at me,2017-12-22,Urban contemporary,0qOJuaqHeg4u1i6gjPKnxE,r&b,urban contemporary,0.427,0.123,9,-15.228,0,0.0497,0.868,3.12e-05,0.0732,0.0394,129.565,229426,bhayanaka,0.9803
4PUO11T670jn0QfvElS8FN,Stuck in My Head,Xuinn,9,4UltbgmTSLfLpoBDJas48z,Stuck in My Head,2019-10-31,Rock Hubspot,5hvf4yL105Rw6cvCP6AMjM,rock,hard rock,0.56,0.28,0,-15.532,1,0.0378,0.865,0.0015,0.121,0.0395,130.029,186000,bhayanaka,0.9802500000000001
72nU2PZrtf8glvjOiSPjYS,Morio,Smoke Trees,49,14CiVUTLsn7p8c0rv0jnDR,Irratio,2018-11-13,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.629,0.277,2,-14.958,0,0.0783,0.628,0.94,0.0851,0.0398,131.03,117868,bhayanaka,0.9801
1ixSXH4wf5oHmGA07zoK3o,A Minute to Breathe,Trent Reznor and Atticus Ross,33,6nFtsE7rZHInooqb9QYGrn,Before the Flood (Music from the Motion Picture),2016-10-28,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.481,0.0533,5,-17.591,1,0.038,0.953,0.69,0.0948,0.04,115.887,367835,bhayanaka,0.98
2u4uhtETtcULnkBfFHSnDX,Oceans,Coldplay,55,2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,2014-05-19,Coldplay – Ghost Stories (Deluxe Edition),6h9DHd1pHHiK84cQqJZyIp,rock,album rock,0.194,0.132,11,-15.783,1,0.0349,0.919,0.182,0.159,0.04,74.848,321680,bhayanaka,0.98
5iK8GmW2uiPuUc5CtkZrIK,Downtown,Majical Cloudz,53,2xF3ioefFdZrOg9zUBU5hb,Are You Alone?,2015-10-16,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.382,0.283,6,-9.357,1,0.0292,0.786,0.00478,0.111,0.0441,95.3,249063,bhayanaka,0.97795
5iK8GmW2uiPuUc5CtkZrIK,Downtown,Majical Cloudz,53,2xF3ioefFdZrOg9zUBU5hb,Are You Alone?,2015-10-16,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,r&b,hip pop,0.382,0.283,6,-9.357,1,0.0292,0.786,0.00478,0.111,0.0441,95.3,249063,bhayanaka,0.97795
2kOqMmHfT9yWyow22efctY,Cold,Tempi,38,2uJVoDPUFXr57HIA1md1e3,Cold,2019-12-14,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.633,0.212,3,-12.092,1,0.0327,0.825,0.0264,0.106,0.0454,110.066,277091,bhayanaka,0.9773000000000001
1JXMGldyq6kP7gubarTwG1,Dirt,SASH,45,0TU8EzuxzUgdfW2Kh2uAGy,Dirt,2020-01-08,Gangsta Rap/90's Hip-Hop,39IFMVQdRNdb7kVfyTvHjM,rap,gangster rap,0.884,0.266,9,-11.902,1,0.0768,0.745,0.0439,0.105,0.0466,120.021,197590,bhayanaka,0.9767
1JXMGldyq6kP7gubarTwG1,Dirt,SASH,45,0TU8EzuxzUgdfW2Kh2uAGy,Dirt,2020-01-08,Pop Hits 2000-2019,6mtYuOxzl58vSGnEDtZ9uB,edm,pop edm,0.884,0.266,9,-11.902,1,0.0768,0.745,0.0439,0.105,0.0466,120.021,197590,bhayanaka,0.9767
6hHDO5Pk0Dh8k3U0F7bdXG,Cybertronic Purgatory - EP Version,Janelle Monáe,30,3T3bJi3cvwR5U7ihwgEwF1,Metropolis: The Chase Suite (Special Edition),2008-08-12,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop,0.326,0.0879,6,-25.361,0,0.0417,0.938,0.572,0.0935,0.0467,120.554,95013,bhayanaka,0.97665
63PJEtaDQNx3BfJTqEY39c,She's Mine Pt. 1,J. Cole,1,71DEqZQPK1OhGtZ9bNtbcc,4 Your Eyez Only,2016-12-09,Neo-Jazz Soul RnB & Afro,48AzM7l4M02DBYd2N3IFLP,r&b,neo soul,0.436,0.21,2,-15.099,1,0.0659,0.759,0.115,0.258,0.0485,139.744,209080,bhayanaka,0.97575
0b6Tza7ke89ya6aEV0BLzW,Time (Original Soundtrack),"DeCarlos ""COS"" Waller",14,0w00PM6ilL5AETpAkJnqB5,Time (Original Soundtrack),2019-01-19,Top Urban Underground,4Gc9TFxlqmoe50m9Yy78ei,r&b,urban contemporary,0.565,0.187,4,-11.165,0,0.031,0.345,0.0,0.0662,0.0492,125.831,254981,bhayanaka,0.9754
