track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
1iqbvOlfRIkVsk6L54ufGu,Heads High (Kill 'Em With It Re-Mix),Mr. Vegas,33,5gHtG5mxSNjyNKIHK4aGv7,Heads High,1998,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.911,0.949,1,-5.509,1,0.173,0.69,0.0,0.27,0.927,93.672,291760,hasya,0.9288
3U4qk5suqEgGrSgrcWGCaO,Vanidosa,Prophex,35,3ePQ8RIUzm9KgefKp174ME,Vanidosa,2020-01-01,Tropical Rising,37i9dQZF1DX07X8UDWKEwP,latin,tropical,0.869,0.911,10,-4.458,0,0.0487,0.158,0.0,0.0654,0.972,145.061,209517,hasya,0.9228000000000001
3hx5R8nOKu5zvhlfDNSIQC,Sucker M.C.'s (Krush-Groove 1),Run–D.M.C.,43,5nK0vU32lSmcGrglfcOfg8,RUN-DMC (Expanded Edition),1984-03-27,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.919,0.975,6,-5.636,1,0.0886,0.0898,0.00253,0.248,0.884,102.982,189947,hasya,0.9218
7LqnglgrosirX2c7C44Cnw,"Money, Hoes & Power (feat. Jermaine Dupri)",UGK,15,4lWWlBbKuWBk7xgKEkevSg,The Essential UGK,2014-03-14,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.914,0.837,1,-5.338,1,0.153,0.108,6.42e-06,0.0286,0.977,143.975,258133,hasya,0.9161
7Eo3fkg16MzIgv9SxxSonH,Llegó la Cripta,El Chombo,51,6y07fZcNzVsvLgACeUuBli,Cuentos de la Cripta 3,1999,Reggaeton Classics,37i9dQZF1DX8SfyqmSFDwe,latin,reggaeton,0.919,0.848,7,-10.511,1,0.165,0.0078,0.0406,0.338,0.959,109.183,147304,hasya,0.9137
59h79itmIRXyUXemC3z9Hf,Freestyler,Bomfunk MC's,8,4XJYvDp7T27ZOHaG8R3IEJ,De Maxx - Long Player 25,2012-11-22,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.842,0.963,4,-5.563,0,0.114,0.0297,0.0271,0.0592,0.918,163.832,172442,hasya,0.9087000000000001
41JVdEgTBhLaTc1Vca5pFy,New Boyfriend,Anna Margaret,32,3FmqQtzrqovhBNjJfqTjsx,StarStruck,2010-01-01,post teen pop,45AKTTGQEfYgAyidW5hucn,pop,post-teen pop,0.855,0.891,1,-4.964,1,0.0356,0.0148,0.102,0.0838,0.951,105.007,185333,hasya,0.9041999999999999
5ntGYNA4DoJJfl2pLy0GwM,Leva Die,Triple C,9,47tuJ52wjs8rFIJwGR7YRM,Underground Barrio Legends,2018-09-15,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,0.933,0.861,8,-4.395,0,0.122,0.193,0.122,0.141,0.914,95.558,237173,hasya,0.9037999999999999
0x6p8igMmoAmVcny8uyVbk,Greed Hate Envy,Nelly,38,5v7Icroz1sQsK2sQyLrWzE,Country Grammar,2000-06-27,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.922,0.859,11,-6.398,1,0.214,0.0623,0.0,0.302,0.917,93.874,255187,hasya,0.9011
3HPLc89ZI535u9AfHjWk0F,Ojitos Cafe,18 Kilates,0,0reLrLXtKnMPjF0tSZsUHx,20 Grandes Exitos,2010-12-01,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,0.848,0.874,2,-7.179,1,0.0902,0.228,0.0,0.089,0.961,102.001,225048,hasya,0.901
6TXVeKe1dZqBLa54SQACrq,Got to Give It Up,Aaliyah,0,0NCXy6z8jLVQFJMM2nQ90c,One In A Milllion,1996,New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing,0.929,0.86,1,-2.234,0,0.0826,0.0334,0.000187,0.274,0.908,109.969,279800,hasya,0.8998999999999999
0FPXDopNoeVy2GmE6ZLrv1,Cha Cha Cha,MC Lyte,19,1dO9eKzbFJxKy9uej2bfak,Rhino Hi-Five: MC Lyte,2007-04-24,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.881,0.889,10,-6.062,0,0.357,0.155,0.0,0.316,0.922,91.325,180093,hasya,0.8997999999999999
65ES1qwOB577ZnTkizMXJJ,HUMBLE. - SKRILLEX REMIX,Skrillex,72,1X4aaOIXvs6gWtQZQpln4V,HUMBLE. (SKRILLEX REMIX),2017-09-29,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.902,0.934,11,-2.345,1,0.272,0.00781,8.23e-05,0.194,0.867,150.029,156800,hasya,0.8976
2QHX3x8XJTMxv6FMqQHkdY,We Are (Ziggy & Carola),Peg Parnevik,38,74RzvcweguDSaMJpGoHXSw,We Are (Ziggy & Carola),2016-06-03,A Loose Definition of Indie Poptimism,4ZO0wp9G8FA3X6oYNBzda6,pop,indie poptimism,0.77,0.935,1,-2.539,0,0.1,0.256,1.26e-06,0.309,0.964,150.035,188867,hasya,0.8971
5q186AzhWeOEoFnApajHgR,Bling Bling,B.G.,47,71UI6dxPwSUiJUH4DM226k,Chopper City In The Ghetto,1999-04-20,The Sound of Southern Hip Hop,18jT9NMRZifv6cMtK2jWD4,rap,southern hip hop,0.868,0.964,2,-3.72,1,0.111,0.0467,1.51e-05,0.0708,0.868,98.913,312960,hasya,0.8967999999999999
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,OutKast,78,1UsmQ3bpJTyK6ygoOOjG1r,Speakerboxxx/The Love Below,2003,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.728,0.974,4,-2.261,0,0.0665,0.103,0.000532,0.175,0.965,79.526,235213,hasya,0.8965999999999998
36sAHywEsh50kaM6CpENHp,(You Drive Me) Crazy,Britney Spears,2,7e2tD25UffSO1019rrrRPe,Baby One More Time,1999-01-12,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.755,0.944,8,-3.936,1,0.0342,0.0599,0.0,0.332,0.962,104.006,198093,hasya,0.8944999999999999
276zciJ7Fg7Jk6Ta6QuLkp,Come Down,Anderson .Paak,66,4VFG1DOuTeDMBjBLZT7hCK,Malibu,2016-01-15,Urban Contemporary,4425cRh83Uzor4qCRfM9lb,r&b,urban contemporary,0.841,0.898,8,-7.135,1,0.104,0.271,0.0151,0.304,0.931,98.401,169727,hasya,0.8941
276zciJ7Fg7Jk6Ta6QuLkp,Come Down,Anderson .Paak,66,4VFG1DOuTeDMBjBLZT7hCK,Malibu,2016-01-15,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.841,0.898,8,-7.135,1,0.104,0.271,0.0151,0.304,0.931,98.401,169727,hasya,0.8941
57Y3UccJEJqT8w8RWkUAz0,Upside Down,Diana Ross,65,0Gy4phN6Xwx4uyskE7Wkls,Diana,1980-05-22,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.887,0.904,5,-5.107,0,0.0703,0.079,0.0101,0.0165,0.89,107.955,244827,hasya,0.8933
6g1PQiyoaop6ktk2TLchtR,You Can Do It,Ice Cube,52,7EPmezGIzLHj7LeTtLYhJZ,Greatest Hits,2001-12-04,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,rap,gangster rap,0.948,0.863,1,-4.361,0,0.17,0.000924,0.0,0.0565,0.872,99.902,259333,hasya,0.8920999999999999
74ZQQZAVOrd5sENv57jfCj,Straight Up,Chanté Moore,41,2Y8xp5J3cx3TNJV5Bopq6g,Exposed,2000-01-01,The Sound of Urban Contemporary,07zF8MjQPsiYUXiAIGZ5TA,r&b,urban contemporary,0.864,0.869,1,-3.602,1,0.129,0.255,0.000134,0.0469,0.93,100.011,220200,hasya,0.8919
74ZQQZAVOrd5sENv57jfCj,Straight Up,Chanté Moore,41,2Y8xp5J3cx3TNJV5Bopq6g,Exposed,2000-01-01,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.864,0.869,1,-3.602,1,0.129,0.255,0.000134,0.0469,0.93,100.011,220200,hasya,0.8919
6qDF4wWL49CAVbgT7yuHl8,Sigo Extrañándote,J Balvin,6,2LYwooMTH1iJeBvWyXXWUf,Energía,2016-06-24,Reggaeton Rewind,37i9dQZF1DXco4ODkIraMD,latin,reggaeton,0.889,0.853,9,-4.26,1,0.241,0.154,0.000107,0.205,0.922,93.022,201280,hasya,0.8914
