track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
51w6nRCU68klqNfYaaVP2j,"Hi, How're You Doin'?",DREAMS COME TRUE,0,4wdK52JVu5GzhxW3RCZ3AV,Dreams Come True,1989-03-21,City Pop 1985 シティーポップ,3j2osvmecEao5nmo9jZ5df,rock,album rock,0.0,0.315,1,-26.087,1,0.0,0.0,0.0,0.0,0.0,0.0,4000,karuna,0.9055
1mZxvQwXxNivipBi5IQqGM,Desolate Blur,Jobii,53,3cvJ8wtThvB996WHIyJtTP,Berk Jam,2019-07-12,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.267,0.321,6,-12.369,1,0.0269,0.883,0.94,0.0871,0.0394,77.204,183146,karuna,0.8840000000000001
3i2Q3cFdFzJ39nV9sAt3Pc,Kusanagi,ODESZA,54,5SXT6dwhHX56Sos7KMcMF5,In Return,2014-09-08,POPTIMISM,6lWMi4lPiiPwDqn8ZpeyAY,pop,indie poptimism,0.335,0.33,0,-8.302,1,0.031,0.472,0.41,0.164,0.04,75.07,208000,karuna,0.881
5smFCXEyT3yY3gHnBz02Ql,Looking For Sunshine - Original Mix,Yeah Boy,23,03SxbrEJitFWtvWUHG9PML,Wildfire,2015-07-31,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.394,0.301,0,-9.267,0,0.152,0.793,0.00106,0.0934,0.0576,81.205,202652,karuna,0.8809
6IievBse1PXM8OSR6GkjSs,Karma Police,Mother Falcon,31,6Pq7wbwhhZBUcpnvmgapys,MF Computer (Radiohead’s OK Computer Reimagined),2014-03-18,Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop,0.248,0.33,2,-14.419,1,0.0396,0.14,0.0191,0.918,0.0456,73.627,262724,karuna,0.8782000000000001
0RJJfHHtI0cSUyCzNUdBEX,Idyll,Amarok,0,07tRnaU7KBospjNR6pnVUo,Hunt,2017-06-23,Progressive Rock / Metal - Rock /Metal  Progresivo,7GhTpb4eOp6403Bmgqz3db,rock,album rock,0.561,0.347,7,-11.262,0,0.0284,0.103,0.664,0.0743,0.0358,64.0,340593,karuna,0.8779999999999999
6sCNSFRrvhVlLGWJTvTvbm,Whales,Cap Kendricks,54,1oacEjy92JhHJw1peFG9mi,Keep Swimming,2019-12-20,Jazz Vibes,37i9dQZF1DX0SM0LYsmbMT,rap,hip hop,0.449,0.325,5,-8.762,0,0.0336,0.808,0.711,0.518,0.0575,82.788,127229,karuna,0.87375
0PO1YxbnvzYayge7GgQFQ2,Better Together,Koosen,56,6VgqGfedjO7iBe29uE1UqB,Better Together,2020-01-10,Lo-Fi Beats,37i9dQZF1DWWQRwui0ExPn,rap,hip hop,0.63,0.312,5,-13.868,1,0.032,0.964,0.935,0.119,0.0716,89.98,109389,karuna,0.8706
2MlUcu4cRAyjCvuBrGdcKd,Lume,AWASAKI,22,4p2JcI9VvhC3WxrHn14N1d,LUME E FERRO,2018-11-12,House Electro 2019,72r6odw0Q3OWTCYMGA7Yiy,edm,electro house,0.447,0.37,10,-11.879,0,0.0346,0.000541,0.693,0.131,0.0381,64.053,127500,karuna,0.86995
3MYLwBjjdVbcj0M7kUGodd,us,Miscél,7,5IhxpD4Ht77TBhOmAClORU,us,2018-12-15,Lo-Fi Beats,37i9dQZF1DWWQRwui0ExPn,rap,hip hop,0.638,0.373,4,-11.411,1,0.15,0.29,0.774,0.238,0.0396,79.007,147366,karuna,0.8683000000000001
