track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
638OrV0KtFGrxvLoAUvxCY,Shotgun Blues,Guns N' Roses,1,5mzoB7ggIOyQIzj5sGl0ZH,Use Your Illusion II,1991-01-01,This Is Guns N' Roses,37i9dQZF1DX74DnfGTwugU,rock,album rock,0.255,0.993,8,-6.759,1,0.199,0.000962,0.741,0.13,0.214,190.507,203000,raudra,0.9322999999999999
7vhFKZFIYkbgxt8RXputjM,Euthanize,Zero Theorem,26,0hyVO1j5KmEyy53honhoFi,Ataraxis,2018-05-04,Hard Rock Workout,5nOO372uzpOM5rB2bRWfkp,rock,hard rock,0.379,0.99,9,-2.758,1,0.16,0.000502,0.0,0.363,0.211,173.702,187586,raudra,0.9317
4r2VrD7qlxmCmRnAWE8nY2,Darkness,Giorno,38,7n2UTKGiqxyFIQffJC6OgF,Darkness,2019-08-16,Trance Party 2019 by FUTURE TRANCE,2yofeyPwe0ZNmJHTrGz2Qt,edm,big room,0.52,0.987,10,-3.845,0,0.0767,0.00106,0.0545,0.175,0.208,149.982,178931,raudra,0.9311
7mzP1H0tpLX84LJbpJtD9D,Mockingbird,Dylan 'N' Alice,10,4imBHRZB5OVpwKzXuObabj,Dylan 'N' Alice,2018-07-01,Hard Rock Workout,5nOO372uzpOM5rB2bRWfkp,rock,hard rock,0.222,0.98,7,-4.393,1,0.242,0.000367,0.159,0.363,0.201,162.02,269750,raudra,0.9297
4XzxkvIxyQEZjPNwvtSkO1,Heaters,Kevu,22,1bMa9wbhrbuYrdW064oKj7,Heaters,2019-09-06,Big Room Beast,3PNyCpkY7NAXyhopBpj7vc,edm,big room,0.628,0.986,11,-1.642,1,0.189,0.00105,0.477,0.321,0.212,150.123,129946,raudra,0.9294
7Eieiwd3Jm0aU9IxtaA1Ev,Lift Me Up,Five Finger Death Punch,0,1PNLoFuOuSpxKb0musG2w5,Lift Me Up,2013-01-01,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,0.552,0.988,4,-3.65,1,0.145,9.43e-05,0.0,0.364,0.224,150.027,246613,raudra,0.9268000000000001
42v9l3Nc8U2CZ7ZYS8n7BU,Kickstart My Heart,Mötley Crüe,2,6bmU9oJYM1FhGvCyhnTi0E,Dr. Feelgood,1989,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.363,0.979,7,-3.634,0,0.319,0.00122,0.00241,0.274,0.218,179.215,282653,raudra,0.9240999999999999
03pdIdVHMM3KImjsHN5R58,Blessin',redz,41,7jPunWeP2RPgW45pEID8Ny,blessin',2017-06-28,Trap Mojito,37i9dQZF1DX1OIMC8iDi74,rap,trap,0.446,0.993,1,-3.171,1,0.455,0.00637,0.787,0.0589,0.243,165.092,248364,raudra,0.9236
2vNw57KPaYDzkyPxXYUORX,Nightrain,Guns N' Roses,61,3I9Z1nDCL4E0cP62flcbI5,Appetite For Destruction,1987-01-01,This Is Guns N' Roses,37i9dQZF1DX74DnfGTwugU,rock,album rock,0.4,0.992,6,-6.995,1,0.0725,0.107,0.0113,0.179,0.243,149.41,266173,raudra,0.9231
4BZdQn690mETPLKmNDhbGi,Don't Damn Me,Guns N' Roses,3,4L5pz06MVlsWaTEjSQPN8h,Use Your Illusion I,1991-01-01,This Is Guns N' Roses,37i9dQZF1DX74DnfGTwugU,rock,album rock,0.275,0.987,8,-6.263,1,0.174,0.000932,0.0033,0.362,0.239,161.91,318867,raudra,0.9218
