track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
5Xw4HulgAYsJaB9VXOMVLH,Canción del encantamiento,Carmen López,37,4N0hKY0m2vNKEcci2nxuRT,Enredados (Rapunzel) OST,2011-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.379,0.00814,6,-21.447,1,0.0367,0.962,0.0,0.128,0.512,88.389,54453,shanta,0.985344
3JOVTQ5h8HGFnDdp4VT3MP,Mad World (Feat. Michael Andrews),Gary Jules,70,1OydCrx4m7fguwcX4stR9z,Trading Snakeoil for Wolftickets,2002-01-01,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,189507,shanta,0.96956
4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,Ruth B.,76,7drYNu2imHk188vP81icR3,Lost Boy,2015-08-21,urban contemporary,4WiB26kw0INKwbzfb5M6Tv,r&b,urban contemporary,0.71,0.0565,7,-15.099,1,0.0534,0.965,0.0,0.0889,0.348,123.994,275280,shanta,0.9669
5P5efUJoM4Ykh4xG1sZT6F,Santa Baby,Eartha Kitt,58,5uyUMeNk0FousoljAj6l7A,Santa Baby,2012-10-27,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.722,0.0767,1,-16.467,1,0.0551,0.969,1.48e-06,0.127,0.484,84.854,211240,shanta,0.96002
6FvSJjsxM3o5ctpexdB31e,Mad World,Michael Andrews,2,3Wis5mzfaH5gqdVnjpFGlL,Donnie Darko,2002-04-02,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.353,0.0811,3,-14.573,1,0.0351,0.966,2.27e-06,0.104,0.356,173.415,187933,shanta,0.95736
4GHG80QW7qKZZTjfMw1QTy,"Merry Christmas, Baby - Remastered",Charles Brown,46,4QvCL6tF7xQAlSrRFohnZp,The Best Of Charles Brown: Driftin' Blues,1992-01-01,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.552,0.0858,6,-21.025,1,0.0378,0.968,0.0153,0.109,0.364,110.942,173827,shanta,0.95608
5kJAk6KD2SH3Dz8K3EfIhc,Blue and Green,Harris Cole,32,3Oez1z22gULW1pAYTCkINr,Colors,2018-05-29,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.638,0.0389,1,-17.75,1,0.115,0.897,0.849,0.0731,0.48,79.888,174000,shanta,0.9535399999999999
5DaL1ihlNVFZ7qdiNds13f,Recollections,jrd.,47,3NwUVz7s27KaJxhwbPYnIf,Reflections,2018-06-02,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.799,0.0375,11,-15.162,1,0.456,0.891,0.928,0.102,0.615,78.132,147716,shanta,0.9523
6r2JV75tE0vNgNCv4HKsBC,scared,Jeremy Zucker,71,16mjtcKPxpQ4ajFHmJ0hJC,brent,2019-05-03,Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop,0.583,0.075,5,-15.843,1,0.0726,0.933,1.4e-06,0.111,0.347,108.418,207520,shanta,0.9499
5zuW9T5REjejF9tSEG0sxp,Algo contigo,Valeria Castro,40,1SsMdo5QqpKYd8MSRtmDtI,Algo contigo,2020-01-02,Latin Pop Rising,37i9dQZF1DX8womvTyUjrN,latin,latin pop,0.657,0.0603,0,-11.637,1,0.0406,0.91,0.0,0.146,0.334,101.826,170000,shanta,0.9488800000000001
3Nx6iu7XpzWL1QMPRJKzqL,Baby It's Cold Outside,Ella Fitzgerald,9,0MgX1r8D5sEhpC3JPs6pLG,Ella & Friends,1996-01-01,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.768,0.0797,10,-13.645,1,0.0563,0.929,0.0,0.125,0.607,113.261,163707,shanta,0.94682
2qdpQrNXOuGGGvFmbKGpZM,Dear Friends - Remastered 2011,Queen,32,5SBHID8qGG3x52zgoh2ilz,Sheer Heart Attack (2011 Remaster),1974-11-08,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,0.317,0.0455,2,-16.092,1,0.0344,0.88,0.0,0.172,0.571,107.711,67573,shanta,0.9458
4WMhD2aaKegdm7qjyo4mxw,Revell,Smoke Trees,52,5z6uE4yOPBzzAOqI4jXCLl,KO-OP 1,2017-11-03,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.727,0.0874,0,-19.549,1,0.074,0.934,0.935,0.101,0.526,80.966,89330,shanta,0.9452400000000001
02K5IV55wIgNNARk3UA95E,Paloma Negra,Chavela Vargas,47,2Z3BXtXY75OOYcJljBozCb,Chavela Vargas,1961-10-26,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,0.585,0.036,2,-14.145,1,0.0418,0.859,3.34e-06,0.0908,0.433,151.223,198760,shanta,0.9433
6QJ72Q3WKxQ3tGko8VVXMs,Building A Family,Mark Isham,0,3Y8Cgz9cHR6AZGa0ZfQWnN,Life As A House (Original Motion Picture Soundtrack),2001-10-30,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,0.596,0.13,9,-20.747,1,0.0343,0.972,0.88,0.367,0.539,124.449,117360,shanta,0.9396
4zROIOjt5mP9vSk6pCu9TG,Sunflower Serenade,Minthaze,55,6FbAmqJjeLRDOFW4fRy89F,Sunflower Serenade,2019-05-10,Lo-Fi Beats,37i9dQZF1DWWQRwui0ExPn,rap,hip hop,0.735,0.124,8,-23.952,0,0.0419,0.956,0.923,0.145,0.301,117.046,132294,shanta,0.9372
1NNnmmBEaId0uoWfvtNd8F,I Can't Carry This Anymore,Anson Seabra,68,22vuxJFesKEkn6vX8TX5nW,I Can't Carry This Anymore,2019-01-11,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.451,0.0873,3,-16.815,1,0.063,0.907,2.46e-06,0.354,0.456,166.598,200000,shanta,0.93718
13LxArRBitvjpAeQ4ZnBXR,Hay Amores,Shakira,36,4xgKn7vBQgiF1g6NjDEgor,Love in the Time Of Cholera EP,2008-01-15,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,0.651,0.113,9,-16.092,0,0.041,0.937,5.54e-06,0.0998,0.497,99.942,209067,shanta,0.9359000000000001
32vbyo69yJq5WXyvHCF0Yp,Ghost,Lianne La Havas,45,1Fh5Y8ldo4PIW8Ija51BRK,Blood,2015-07-31,Neo-Jazz Soul RnB & Afro,48AzM7l4M02DBYd2N3IFLP,r&b,neo soul,0.626,0.108,7,-15.527,0,0.0329,0.922,1.22e-06,0.11,0.334,92.13,223640,shanta,0.9334
6gJb9I7KPf0g3evVOhJhAz,Hark! the Herald Angels Sing,Take 6,23,3i30RjNg6NMfzyfEu1klCn,R&B Christmas Volume 2,2004-12-07,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.368,0.0323,3,-23.014,1,0.0341,0.821,0.0,0.142,0.64,87.479,160667,shanta,0.93338
58CrldAc1Z5WIBozT1NMJH,Ordinary People,John Legend,18,0QtPeJVJ7l0w7K6681fbaV,Get Lifted,2004,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.469,0.132,10,-14.001,1,0.0807,0.929,0.0,0.0873,0.36,67.011,281467,shanta,0.9259
3u5bTqHMM1P34ZkbwzdckV,The Story Never Ends,Lauv,72,7lqieLm717j9Z8JrG7POkS,I met you when I was 18. (the playlist),2018-05-31,urban contemporary,4WiB26kw0INKwbzfb5M6Tv,r&b,urban contemporary,0.614,0.126,9,-9.403,1,0.0376,0.911,0.0,0.148,0.351,119.945,229029,shanta,0.9228999999999999
1eYTN19ZXz0i9iuIX2TD5U,Wildflower,Joe Corfield,57,6fhZk3c9CkVFgYvDzjZDIV,Chillhop Essentials Spring 2018,2018-03-21,Indie/Jazz Poptimism,6OaTudLqBEuTyUMPxRNpZc,pop,indie poptimism,0.67,0.139,1,-11.068,1,0.0725,0.928,0.949,0.0947,0.658,91.054,147584,shanta,0.9228000000000001
6WQ6SSZtvdLmmXkmliTasP,Konuka Ame,Ginji Ito,9,1NXOVQcaFk3QQ3DvIEHzb8,I Stand Alone Vol. 4 - EP,2010,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.682,0.0904,9,-16.524,1,0.0395,0.856,7.92e-05,0.112,0.412,116.765,224653,shanta,0.9206399999999999
