track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
0UnjUj5D9vPhYOPK4Ifwwh,Golden Green,Agnes Obel,38,3jTTLPuVcL6J9pgujnU1lS,Citizen of Glass,2016-10-21,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.668,0.394,8,-12.811,0,0.0293,0.978,0.0941,0.112,0.457,138.551,239703,shringara,0.9934
3YNUXos2DxxfC4ZwNAfjwi,better things,Ymori,13,1iwSCSP7AHwIqF2KGcqcDE,Better Things,2018-11-19,Lo-Fi Beats,37i9dQZF1DWWQRwui0ExPn,rap,hip hop,0.654,0.483,10,-8.072,1,0.175,0.978,0.838,0.29,0.785,139.956,126981,shringara,0.9934
5l40B5n4x1U6B7qTaJXPtN,Flava,Manny,47,7CrQluqxgIPgOHNk1qfz5X,Flava,2018-08-15,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.416,0.423,9,-15.069,0,0.248,0.97,0.928,0.206,0.41,76.372,111381,shringara,0.9909999999999999
00nvL9u5K8jEJ6TSxGdtPK,Me Enamoré,Jay Wheeler,62,2Xz6s5xkP24hNqWCWHSsww,Platónico,2019-11-28,Latin Pop Rising,37i9dQZF1DX8womvTyUjrN,latin,latin pop,0.495,0.357,11,-7.555,1,0.0439,0.968,0.00104,0.118,0.456,179.74,253830,shringara,0.9904
6A30LeQiZ781ATWscFIJo3,The Road,Flynn,47,1NOHHyeETGvv3PoiJeZcct,Cycles,2018-07-17,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.497,0.345,5,-7.666,0,0.181,0.962,0.944,0.108,0.669,77.695,108000,shringara,0.9885999999999999
4NEIzOoQWNYLglS0iWzfUe,it's a beautiful,BROCKBEATS,45,66Le9GE1WPNWlzKzkPw36Z,TOY TOY TOY,2018-07-23,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.73,0.305,2,-11.311,1,0.0662,0.959,0.118,0.681,0.744,95.056,140000,shringara,0.9876999999999999
5nTywGPx2MJrzHD5w8Fgwc,Smokey Hue,TyLuv.,44,4lKLsr9QcyPdXnvRfBfquB,In Between (Part.3),2019-10-31,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.649,0.441,10,-8.665,0,0.0312,0.957,0.964,0.115,0.406,89.964,160040,shringara,0.9870999999999999
3icBDBRl7DcA5ZjMkN5O0G,ocean.dance.,Fushou.,41,3aA6T0v54H0ruKYstpMFJ3,revelation.,2018-07-21,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.529,0.398,8,-11.062,1,0.567,0.956,0.943,0.118,0.406,81.216,208193,shringara,0.9867999999999999
5yGs5BtZC9uN1VW0lKfgwz,Walking on Sunshine,Sam Amidon,36,56YoLMVeXAAziNRbN3EF9B,BrooklynVegan Presents Sun Salute: A Tribute to Katrina & The Waves and Walking on Sunshine,2013-05-21,Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop,0.598,0.39,10,-11.798,1,0.028,0.952,0.0513,0.112,0.765,107.018,187724,shringara,0.9855999999999999
1HET5OdOXWBaBES9e4k6ni,Crystal Ship,soder.,55,4c0cTwQScPJPdCRaWeJXGT,Dreams of Dawn,2018-11-21,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.642,0.696,8,-11.218,0,0.0393,0.95,0.0202,0.176,0.615,87.024,95524,shringara,0.9849999999999999
